City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hualahuises,MX,24.8847,-99.6733,81.95,8,0,8.57,clear sky
1,Hermanus,ZA,-34.4187,19.2345,59.81,84,100,15.17,light rain
2,East London,ZA,-33.0153,27.9116,69.13,78,16,16.33,few clouds
3,Ponta Do Sol,PT,32.6667,-17.1,64.06,74,56,5.12,broken clouds
4,Poum,NC,-20.2333,164.0167,78.75,78,72,4.16,broken clouds
5,Ribeira Grande,PT,38.5167,-28.7,61.2,88,75,24.16,broken clouds
6,Yellowknife,CA,62.456,-114.3525,6.42,61,0,12.66,clear sky
7,Punta Arenas,CL,-53.15,-70.9167,55.51,50,75,14.97,broken clouds
8,Namwala,ZM,-15.7504,26.4384,65.57,95,81,2.51,broken clouds
9,Atar,MR,20.5169,-13.0499,74.48,25,0,9.75,clear sky
10,Nueva Londres,PY,-25.4045,-56.5498,74.57,97,79,8.9,broken clouds
11,Sao Filipe,CV,14.8961,-24.4956,70.61,72,1,12.33,clear sky
12,Mar Del Plata,AR,-38.0023,-57.5575,68.88,67,20,8.05,few clouds
13,Jamestown,US,42.097,-79.2353,56.52,44,0,11.5,clear sky
14,Demyansk,RU,57.643,32.466,32.07,98,74,2.42,broken clouds
15,Klaksvik,FO,62.2266,-6.589,45.52,87,99,12.75,overcast clouds
16,La Ronge,CA,55.1001,-105.2842,28.65,54,75,21.85,broken clouds
17,Barrow,US,71.2906,-156.7887,-0.38,71,0,17.27,haze
18,Avarua,CK,-21.2078,-159.775,82.45,78,20,5.75,few clouds
19,Teya,RU,60.3778,92.6267,6.04,99,100,1.25,overcast clouds
20,Maniitsoq,GL,65.4167,-52.9,17.49,69,100,5.41,overcast clouds
21,Yerbogachen,RU,61.2767,108.0108,-6.32,100,89,3.8,overcast clouds
22,Kapaa,US,22.0752,-159.319,78.78,82,75,20.71,broken clouds
23,Hilo,US,19.7297,-155.09,80.33,69,40,13.8,scattered clouds
24,Lakes Entrance,AU,-37.8811,147.981,54.16,85,9,5.68,clear sky
25,Beidao,CN,34.5686,105.8933,45.05,65,100,8.52,light rain
26,Cidreira,BR,-30.1811,-50.2056,74.39,87,100,8.46,overcast clouds
27,Tabou,CI,4.423,-7.3528,80.19,86,10,5.84,clear sky
28,Tilichiki,RU,60.4667,166.1,6.28,94,92,5.17,overcast clouds
29,Anadyr,RU,64.75,177.4833,5.5,92,20,6.71,fog
30,Hobart,AU,-42.8794,147.3294,58.23,82,20,5.75,few clouds
31,Kumba,CM,4.6363,9.4469,76.15,92,99,0.58,overcast clouds
32,Rikitea,PF,-23.1203,-134.9692,79.88,71,100,15.59,light rain
33,Cockburn Town,TC,21.4612,-71.1419,78.33,76,0,20.4,clear sky
34,Tomatlan,MX,19.9333,-105.25,86.67,22,0,8.72,clear sky
35,Kota Bahru,MY,6.1333,102.2386,80.55,89,20,3.44,few clouds
36,Liverpool,GB,53.4106,-2.9779,55.35,66,0,3.44,clear sky
37,Auki,SB,-8.7676,160.7034,78.33,83,99,2.15,overcast clouds
38,Ashland,US,40.8167,-82.2665,52.11,60,97,15.77,overcast clouds
39,Torbay,CA,47.6666,-52.7314,29.75,74,100,28.77,overcast clouds
40,Bluff,NZ,-46.6,168.3333,52.65,71,25,11.34,scattered clouds
41,Qasigiannguit,GL,68.8193,-51.1922,12.45,76,100,3.4,overcast clouds
42,Vaini,TO,-21.2,-175.2,80.76,83,75,9.22,broken clouds
43,Port Elizabeth,ZA,-33.918,25.5701,68.09,77,20,19.57,few clouds
44,Dingle,PH,10.9995,122.6711,77.72,87,100,7.67,overcast clouds
45,Sobolevo,RU,54.4299,31.8996,23.38,97,36,4.88,scattered clouds
46,Yulara,AU,-25.2406,130.9889,71.44,56,0,10.36,clear sky
